                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65167,                0.52149,                0.99555,                0.79397,                0.67451,                0.71298,                0.56679,                 1.2909,                 1.2593,                 1.5339,             0.00033238,             0.00033238,             0.00033238
                      2,                0.69279,                0.56176,                 1.0115,                0.74202,                0.65795,                0.69646,                0.55135,                   1.32,                 1.3365,                 1.5416,             0.00064375,             0.00064375,             0.00064375
                      3,                0.73455,                0.62592,                 1.0336,                0.72328,                0.67152,                0.68524,                0.53217,                 1.3478,                  1.335,                 1.5567,             0.00093311,             0.00093311,             0.00093311
                      4,                0.76761,                0.66645,                 1.0519,                0.72975,                0.64762,                0.67794,                0.52919,                 1.3143,                 1.3848,                 1.5059,               0.000901,               0.000901,               0.000901
                      5,                0.78038,                0.69086,                 1.0596,                0.69446,                0.67201,                 0.6753,                 0.5267,                 1.3396,                 1.3813,                 1.5549,               0.000901,               0.000901,               0.000901
                      6,                0.78907,                0.68756,                 1.0694,                0.74352,                0.65355,                0.68468,                 0.5356,                 1.3081,                 1.3429,                  1.503,               0.000868,               0.000868,               0.000868
                      7,                0.78158,                0.68465,                 1.0626,                0.75616,                 0.6435,                0.69016,                0.53323,                 1.3205,                 1.3534,                 1.5094,               0.000835,               0.000835,               0.000835
                      8,                 0.7778,                0.68038,                  1.058,                0.70791,                0.67105,                0.67987,                0.53307,                 1.3364,                 1.3734,                 1.5413,               0.000802,               0.000802,               0.000802
                      9,                0.77862,                0.67086,                  1.062,                0.70162,                0.68731,                0.69025,                0.53209,                 1.3278,                 1.3491,                 1.5269,               0.000769,               0.000769,               0.000769
                     10,                0.76489,                0.65689,                 1.0517,                0.74278,                0.65732,                0.68695,                 0.5388,                 1.3229,                 1.3536,                 1.5053,               0.000736,               0.000736,               0.000736
                     11,                0.75393,                0.63839,                 1.0441,                0.71708,                0.66467,                0.68977,                 0.5355,                 1.3217,                 1.3058,                 1.4979,               0.000703,               0.000703,               0.000703
                     12,                0.73951,                0.61583,                 1.0355,                0.75014,                0.66984,                0.70242,                0.54565,                 1.3081,                 1.2987,                 1.4877,                0.00067,                0.00067,                0.00067
                     13,                0.72905,                0.60547,                 1.0312,                0.75029,                0.66743,                0.69104,                0.53995,                 1.3153,                  1.313,                 1.5126,               0.000637,               0.000637,               0.000637
                     14,                0.72785,                0.60592,                 1.0335,                0.72159,                0.69638,                0.70039,                0.55565,                 1.2986,                   1.28,                 1.4984,               0.000604,               0.000604,               0.000604
                     15,                0.71551,                 0.5904,                 1.0235,                0.71727,                0.69589,                0.69464,                0.54625,                 1.3073,                 1.2588,                 1.5163,               0.000571,               0.000571,               0.000571
                     16,                0.70629,                0.57272,                 1.0208,                0.72365,                0.70134,                0.70322,                0.56109,                 1.2913,                 1.2504,                 1.4941,               0.000538,               0.000538,               0.000538
                     17,                0.69293,                0.55507,                 1.0116,                0.72988,                0.69449,                 0.6989,                0.55368,                 1.2943,                 1.2955,                 1.4984,               0.000505,               0.000505,               0.000505
                     18,                0.69222,                0.54905,                 1.0099,                0.71572,                0.68932,                0.69689,                0.55575,                 1.3002,                 1.3139,                  1.507,               0.000472,               0.000472,               0.000472
                     19,                0.67805,                0.54015,                 1.0031,                0.75724,                0.66907,                0.69517,                0.55155,                 1.2917,                   1.31,                 1.5106,               0.000439,               0.000439,               0.000439
                     20,                0.66615,                0.52549,                 1.0007,                0.75371,                0.68483,                0.70325,                0.55536,                 1.2694,                 1.2648,                 1.4825,               0.000406,               0.000406,               0.000406
                     21,                0.61558,                0.42716,                0.96381,                0.72059,                0.69881,                 0.7029,                0.55985,                 1.2922,                 1.3063,                 1.5213,               0.000373,               0.000373,               0.000373
                     22,                0.58457,                 0.3894,                0.94452,                0.75222,                0.66885,                0.70062,                0.55813,                  1.281,                 1.3057,                  1.514,                0.00034,                0.00034,                0.00034
                     23,                0.57798,                0.38249,                0.93736,                0.77142,                0.65957,                0.70214,                0.56233,                 1.2932,                  1.316,                 1.5273,               0.000307,               0.000307,               0.000307
                     24,                0.56088,                0.36412,                0.92904,                0.77118,                0.66755,                 0.7075,                0.57016,                 1.3032,                 1.3156,                 1.5525,               0.000274,               0.000274,               0.000274
                     25,                0.54843,                0.35806,                0.92608,                0.80179,                0.66909,                 0.7142,                0.57195,                  1.279,                 1.2936,                 1.5472,               0.000241,               0.000241,               0.000241
                     26,                0.53525,                0.34512,                0.91619,                0.78114,                0.68489,                0.72259,                0.58108,                 1.2577,                 1.2763,                 1.5058,               0.000208,               0.000208,               0.000208
                     27,                0.52117,                0.33048,                0.90935,                0.78458,                0.67763,                0.71973,                0.58161,                 1.2614,                 1.2905,                 1.5221,               0.000175,               0.000175,               0.000175
                     28,                0.51049,                0.31972,                0.90827,                0.79601,                0.66246,                0.71485,                0.57806,                 1.2657,                  1.325,                 1.5308,               0.000142,               0.000142,               0.000142
                     29,                0.49433,                0.31308,                0.89457,                0.76592,                0.68384,                0.71969,                0.58595,                 1.2586,                 1.2945,                 1.5356,               0.000109,               0.000109,               0.000109
                     30,                0.48514,                0.31005,                0.89424,                0.77962,                0.68419,                0.71837,                0.58394,                 1.2509,                 1.3114,                 1.5205,                7.6e-05,                7.6e-05,                7.6e-05
